State,Total Population,median_household_income,Total Labor Force,Total Unemployed,Total Poverty,State Number,poverty_rate,unemployment_rate,vaccination_rate
Alabama,4876250,50536,2242785,132095,795989,1,16.3237939,5.889775435,41.7
Alaska,737068,77640,392338,26808,76933,2,10.43770724,6.832883891,49.7
Arizona,7050299,58945,3346155,195905,1043764,4,14.80453524,5.854630165,50.6
Arkansas,2999370,47597,1378722,70481,496260,5,16.54547455,5.112053046,45
California,39283497,75235,19921547,1199233,5149742,6,13.10917406,6.019778484,58.4
Colorado,5610349,72331,3069631,131371,565873,8,10.08623528,4.279700068,58.9
Connecticut,3575074,78444,1940825,116456,344146,9,9.626262282,6.000334909,68.2
Delaware,957248,68287,485533,26481,109400,10,11.42859531,5.454006216,57.1
District of Columbia,692683,86420,407904,27967,107140,11,15.46739273,6.856270103,59.5
Florida,20901636,55660,10116026,561448,2870487,12,13.73331255,5.550084589,56.5
Georgia,10403847,58700,5174538,290560,1528558,13,14.69223836,5.615187288,44.6
Hawaii,1422094,81275,752064,30269,130649,15,9.187086086,4.024790443,57.3
Idaho,1717750,55785,832286,35879,221256,16,12.88057051,4.310897937,41.1
Illinois,12770631,65886,6663517,394981,1557873,17,12.19887255,5.927515455,53
Indiana,6665703,56303,3367521,161351,867996,18,13.0218223,4.791388086,48
Iowa,3139508,60523,1678141,62573,348122,19,11.08842532,3.728709328,53.6
Kansas,2910652,59597,1519790,61002,337739,20,11.60355137,4.013844018,50.5
Kentucky,4449052,50589,2109169,116945,747010,21,16.79031848,5.544600741,51.4
Louisiana,4664362,49469,2191990,141020,871467,22,18.68351985,6.43342351,44.8
Maine,1335492,57918,701270,28922,153131,23,11.46626112,4.124231751,68
Maryland,6018848,84805,3269234,164396,539991,24,8.971667003,5.02857856,63.6
Massachusetts,6850553,81215,3800931,183355,680962,25,9.940248619,4.823949711,67.5
Michigan,9965265,57144,4953003,293894,1398527,26,14.03401716,5.933652776,51.9
Minnesota,5563378,71306,3072244,111115,526065,27,9.455855777,3.616737473,57.7
Mississippi,2984418,45081,1346678,99733,585786,28,19.6281486,7.405853515,42.6
Missouri,6104910,55461,3074639,139789,810045,29,13.26874598,4.546517494,47.3
Montana,1050649,54970,536872,21513,134605,30,12.81160502,4.007100389,48.1
Nebraska,1914571,61439,1039498,34535,206579,31,10.78983229,3.322276714,54.2
Nevada,2972382,60365,1507387,92426,384690,32,12.94214539,6.131537555,50.2
New Hampshire,1348124,76768,759081,27430,98682,33,7.319949797,3.613580105,61.2
New Jersey,8878503,82545,4689849,258093,869081,34,9.788598371,5.503226223,63.8
New Mexico,2092454,49754,961999,63458,392065,35,18.73709052,6.596472554,62.5
New York,19572319,68486,10069219,547509,2681277,36,13.6993322,5.437452498,63
North Carolina,10264876,54602,5139789,281344,1467591,37,14.29721119,5.473843382,49
North Dakota,756717,64894,420291,11406,78198,38,10.33385004,2.713833986,43.5
Ohio,11655397,56602,5918471,314483,1588343,39,13.62753238,5.313585215,49.8
Oklahoma,3932870,52919,1885928,94834,598373,40,15.21466512,5.02850586,46.9
Oregon,4129803,62818,2096692,114559,533527,41,12.91894553,5.463797258,60.2
Pennsylvania,12791530,61744,6553389,347378,1539183,42,12.03282954,5.30073829,57.3
Rhode Island,1057231,67167,567926,30455,125826,44,11.90146713,5.362494409,67.5
South Carolina,5020806,53199,2447854,139526,741650,45,14.7715327,5.69993145,46.4
South Dakota,870638,58275,462290,15736,110553,46,12.69792956,3.403923944,51
Tennessee,6709356,53320,3301501,172799,996930,47,14.85880314,5.233952678,44.7
Texas,28260856,61874,14055852,708827,4072194,48,14.40930876,5.042931585,50.6
Utah,3096848,71621,1557215,55539,298537,49,9.640027538,3.566559531,50
Vermont,624313,61973,341932,12323,65652,50,10.51587905,3.603932946,69.1
Virginia,8454463,74222,4477253,200850,865691,51,10.23945578,4.486009613,59.8
Washington,7404107,73775,3834480,187330,785244,53,10.60551934,4.885408191,60.2
West Virginia,1817305,46711,794126,51910,310044,54,17.0606475,6.536746058,40.2
Wisconsin,5790716,61747,3097113,111564,639160,55,11.03766788,3.602193398,55.9
Wyoming,581024,64049,305004,13544,62257,56,10.71504792,4.4405975,41
Puerto Rico,3318447,20539,1227292,196934,1449091,72,43.66774579,16.04622209,57.9
